address,Latitude,Longitude
창원시 마산회원구 자유무역6길 103(봉암동),35.2143612,128.6110814
창원시 마산회원구 자유무역6길 157(봉암동),35.2143612,128.6110814
진주시 남강로1367번길 36(상대동),35.1825798,128.1255851
진주시 남강로1367번길 14(상대동),35.1829751,128.1277004
진주시 동진로 290(상대동),35.1795649,128.1234548
진주시 대신로 146(상평동),35.1730934,128.1190361
진주시 도동로 57(상평동),35.175493,128.1226867
진주시 도동로 58(상평동),35.1747305,128.1251843
진주시 남강로 1303(상평동),35.1772912,128.1297336
진주시 남강로 1003(상평동),35.1724287,128.1005135
사천시 사남면 공단1로 78,35.0714409,128.0629129
사천시 사남면 외국기업로 82,35.0653762,128.0623546
사천시 사남면 공단1로 141,35.0702713,128.0601215
창원시 성산구 성산패총로 170(가음정동),35.2054546,128.6875127
창원시 성산구 정동로 153,35.2037399,128.6880341
창원시 성산구 두산볼보로 22(귀곡동),35.1770075,128.6058514
창원시 성산구 정동로 122(남산동),35.2015754,128.6909151
창원시 성산구 삼동로 90(내동),35.2226294,128.6544579
창원시 성산구 연덕로 171(내동),35.2199063,128.659423
창원시 성산구 연덕로 176(내동),35.2182915,128.6655985
창원시 의창구 창원대로 488(대원동),35.228535,128.6448017
창원시 의창구 남면로113번길 27,35.2218958,128.6402641
창원시 의창구 남면로 201(대원동),35.2207469,128.6347111
창원시 성산구 웅남로 670,35.1992462,128.6836134
창원시 성산구 웅남로 654-24,35.2026517,128.6820078
창원시 성산구 공단로 589,35.1986589,128.680974
창원시 성산구 공단로 602(성산동),35.2027371,128.673952
창원시 성산구 공단로 602(성산동),35.2027371,128.673952
창원시 성산구 성산패총로 107(성산동),35.2050708,128.676114
창원시 성산구 완암로 84 (성산동),35.2069711,128.6633755
창원시 성산구 창원대로 1124(성주동),35.196789,128.7048352
창원시 성산구 정동로 84(성주동),35.1981099,128.6876792
창원시 성산구 정동로 48(성주동),35.1954548,128.6839309
창원시 성산구 정동로 18(성주동),35.1924154,128.6842228
창원시 성산구 공단로 680(성주동),35.1906956,128.6883513
창원시 성산구 공단로 704(성주동),35.1895058,128.6908613
창원시 성산구 월림로 46(신촌동),35.2073,128.6360123
창원시 성산구 적현로 147(신촌동),35.20647,128.6084402
창원시 성산구 적현로 124(신촌동),35.211551,128.6090284
창원시 성산구 공단로103번길 12(신촌동),35.2162631,128.6405658
창원시 성산구 공단로 193(신촌동),35.2116391,128.6386448
창원시 성산구 공단로 211,35.2179351,128.6473705
창원시 성산구 공단로 148(신촌동),35.2137982,128.6390098
창원시 성산구 공단로 80(신촌동),35.2064071,128.6331959
창원시 성산구 공단로 52(양곡동),35.2060076,128.6421316
창원시 성산구 남면로 599(외동),35.2086972,128.6775619
창원시 성산구 성산패총로 173(외동),35.2091172,128.6815962
창원시 성산구 공단로 303(웅남동),35.2115193,128.6574869
창원시 성산구 공단로271번길 11(웅남동),35.2136391,128.6528843
창원시 성산구 웅남로 328(웅남동),35.2184538,128.6541805
창원시 성산구 공단로 280(웅남동),35.2118921,128.6505473
창원시 성산구 완암로 35(웅남동),35.2055641,128.6612147
창원시 의창구 반계로 40(팔용동),35.2471699,128.6116121
창원시 의창구 평산로 42(팔용동),35.2470997,128.6163826
창원시 성산구 성주로 53 (남산동),35.1920147,128.6955537
창원시 성산구 정동로162번길 40(남산동),35.1994619,128.6968515
창원시 성산구 공단로 799(성주동),35.1871427,128.7031774
창원시 의창구 팔용로371번길 18(팔용동),35.2523662,128.6066566
함안군 칠서면 대부로 551,35.3622544,128.4843534
함안군 칠서면 공단북길 50,35.3745543,128.4761023
함안군 칠서면 공단동길 79,35.3722205,128.4849709
함안군 칠서면 공단서3길 62,35.3620222,128.4802003
함안군 칠서면 대부로 528,35.3613419,128.4814881
함안군 칠서면 공단서길 18,35.3689714,128.4794326
함안군 칠서면 공단북길 134-18,35.373277,128.4715056
양산시 유산공단7길 15(유산동),35.3648191,129.0333853
양산시 어실로 43(유산동),35.3635115,129.0269062
양산시 어실로 1(유산동),35.3774635,129.0367336
양산시 충렬로 355,35.3773882,129.0440117
양산시 유산공단11길 11(유산동),35.3723306,129.0299452
양산시 유산공단4길 14(유산동),35.3583969,129.0351805
양산시 새목1길 15(유산동),35.3716954,129.0267435
양산시 어실로 119(유산동),35.3673649,129.0369225
양산시 충렬로 289(유산동),35.3689798,129.0387413
양산시 충렬로 269(유산동),35.3682866,129.0386499
양산시 유산공단4길 21(유산동),35.3570193,129.0323749
양산시 충렬로 327(유산동),35.3707609,129.0409364
양산시 어곡공단1길 38(어곡동),35.3747361,129.0196651
창원시 성산구 남면로 381(내동),35.220098,128.6581602
창원시 의창구 차룡로14번길 18(팔용동),35.2402571,128.6276093
창원시 성산구 창원대로 1204(성주동),35.191308,128.7129069
창원시 성산구 공단로21번길 18(신촌동),35.213472,128.6289342
양산시 어곡공단5길 39(어곡동),35.3809681,129.0218071
창원시 진해구 명제로 60(원포동),35.1106203,128.7127751
진주시 공단로 237(상평동),35.1765941,128.1257339
창원시 의창구 팔용로346번길 10(팔용동),35.2484627,128.6083505
창원시 의창구 삼동로 101(대원동),35.2216775,128.654624
창원시 성산구 완암로 73(웅남동),35.2105949,128.6630359
창원시 성산구 두산볼보로 160,35.1883732,128.6024858
창원시 성산구 웅남로 812,35.1916739,128.6924092
창원시 성산구 적현로 259(신촌동),35.2010016,128.6025724
창원시 성산구 성산패총로38번길 20(성산구),35.1973701,128.6759513
창원시 마산회원구 자유무역3길 96(양덕동),35.2154812,128.5943327
창원시 성산구 완암로 171,35.2160354,128.6690082
사천시 사남면 외국기업로 152-52,35.0663597,128.054812
양산시 어곡공단3길 14-2,35.3802148,129.0178278
진주시 솔밭로 55(상평동),35.1735587,128.1072415
함안군 칠서면 대부로 510,35.3605383,128.478432
함안군 칠서면 공단북길 78,35.3735214,128.4744608
창원시 성산구 공단로 308-28(웅남동),35.209986,128.654664
창원시 성산구 웅남로795번길 8,35.1941782,128.6952109
창원시 성산구 정동로 47(성산동),35.1970192,128.6833763
사천시 사남면 공단1로 107,35.0689034,128.0626774
양산시 어곡공단5길 15(어곡동),35.3809793,129.0196269
사천시 사남면 공단4로 183,35.0625155,128.0472138
양산시 어곡공단1길 134,35.3820459,129.0173401
양산시 충렬로 129(유산동),35.3555146,129.0321918
사천시 사남면 공단4로 155-32,35.0592041,128.0466411
창원시 의창구 남면로 125(대원동),35.2227383,128.6370796
김해시 주촌면 서부로1637번길 337,35.2565059,128.8175246
창원시 성산구 공단로473번길 33(성산동),35.2058528,128.6715001
함안군 칠서면 공단북길 138,35.3721289,128.4712051
사천시 사남면 공단5길 25,35.0525365,128.0752175
양산시 어곡로 165(어곡동),35.3694063,129.0107736
양산시 유산공단7길 45,35.363039,129.0308483
함안군 칠서면 공단동길 98,35.3693713,128.4898576
창원시 의창구 평산로 37(팔용동),35.248556,128.6150421
창원시 성산구 창원대로 48(성주동),35.1927722,128.6928172
창원시 마산합포구 진북면 산단1길 129,35.1319241,128.483633
창원시 성산구 공단로 69,35.2136731,128.6328932
함안군 칠서면 공단서4길 11,35.3632973,128.4745804
창원시 마산합포구 진북면 산단2길 46-56,35.1347613,128.4780886
창원시 성산구 적현로 490(귀곡동),35.1864511,128.594701
창원시 의창구 팔용로346번길 8(팔용동),35.2483699,128.6081729
창원시 성산구 공단로 238(웅남동),35.213458,128.6483345
창원시 성산구 창원대로1144번길 55(성주동),35.1913589,128.705445
고성군 동해면 조선특구로 740,34.9936346,128.4616862
창원시 의창구 남면로 245(대원동),35.2213227,128.6397224
사천시 사남면 공단2로 220,35.0692963,128.0535169
창녕군 대합면 대동월포로 291,35.617606,128.4479773
창원시 성산구 공단로 303,35.2115193,128.6574869
양산시 산막공단북13길 50,35.3745577,129.0641893
함안군 군북면 함안산단4길 25,35.2892834,128.3196028
함안군 칠서면 공단동길 10,35.3671974,128.4839648
함안군 군북면 월촌공단로 170,35.3001872,128.3150309
함안군 군북면 함안산단3길 10,35.2940805,128.3148753
창녕군 대합면 대합산업단지로 100,35.6136586,128.4725473
창녕군 창녕읍 창밀로 259-33,35.5639453,128.4995275
김해시 주촌면 골든루트로 158-8,35.2154841,128.8322224
창원시 의창구 창원대로204번길 6(팔용동),35.24383,128.6231307
함안군 칠서면 공단안길 51,35.3635504,128.4875545
창원시 성산구 창원대로 1204(성주동),35.191308,128.7129069
창녕군 대합면 대합산업단지로 68-51,35.6136586,128.4725473
산청군 금서면 매촌리 1363,35.4136255,127.8565028
김해시 주촌면 골든루트로129번길 156,35.2154841,128.8322224
양산시 어실로 77(유산동),35.3740148,129.0320124
진주시 정촌면 산업로111번길 18,35.1314023,128.1025354
양산시 그린공단3길 20,36.1473523,128.1349938
창녕군 대합면 대합산업단지로 87,35.6136586,128.4725473
창원시 성산구 정동로62번길 56-28,35.1935612,128.6892891
창원시 성산구 정동로 154,35.2041289,128.6911136
김해시 주촌면 골든루트로 104-1,35.2154841,128.8322224
진주시 사봉면 산업단지로44번길 66,35.1912954,128.2840986
함안군 칠서면 공단서3길 59,35.3634367,128.4817173
진주시 지수면 용봉로 130,35.2485812,128.2297754
양산시 어곡공단1길 78,35.3800317,129.0186883
창원시 성산구 공단로474번길 10,35.2042575,128.6663933
양산시 어곡공단3길 38,35.3793075,129.0169172
양산시 산막공단남10길 31,35.3664444,129.0664585
창원시 의창구 차룡단지로 188(팔용동),35.2372132,128.6305237
창녕군 대합면 대합산업단지로 68-26,35.6136586,128.4725473
양산시 유산공단10길 14(유산동),35.3698913,129.0290195
김해시 주촌면 골든루트로129번길 90(주촌면),35.2154841,128.8322224
창녕군 대합면 대합산업단지로 120-19,35.6136586,128.4725473
사천시 용현면 신촌리 432-24번지 산업용지 3-1,35.029146,128.0408208
함안군 군북면 함안산단4길 79,35.2892834,128.3196028
함안군 칠서면 공단동3길 65,35.3722713,128.4819437
함안군 칠서면 공단동2길 38(계내리),35.3666533,128.4838933
함안군 군북면 함안산단2길 25-17,35.2892834,128.3196028
창원시 성산구 공단로 166번길 13-41,35.2145205,128.6438363
양산시 어곡공단1길 108(어곡동),35.38031,129.0189295
함안군 군북면 함안산단1길 26-14,35.2892834,128.3196028
창원시 의창구 남면로 113번길(대원동 91),35.222952,128.6396396
진주시 남강로 1369,35.1829144,128.1280187
경산시 남천면 남성현로 1022 외2필지,35.7278953,128.7195027
경산시 용성면 설총로 154-180,35.7602059,128.8512378
경산시 진량읍 공단4로 78,35.8639213,128.8271067
경산시 진량읍 공단6로 98,35.8662098,128.8263089
경산시 진량읍 대학로 1090,35.8791185,128.8135874
경산시 진량읍 대학로 1298,35.8946416,128.8235127
경산시 진량읍 북리1길 55,35.8912673,128.8259854
고령군 개진면 개진산단길 93,35.7162503,128.3127574
고령군 다산면 다산산단2길 10-30,35.7888806,128.3910395
고령군 다산면 다산산단3길 21-20,35.7894609,128.3843584
고령군 다산면 다산산단3길 85,35.7895906,128.3775678
고령군 다산면 다산산단로 136,35.7918131,128.3838952
고령군 다산면 다산산단로 156,35.7925559,128.381882
고령군 다산면 다산산단로 228,35.7974455,128.3747693
고령군 다산면 다산산단로 28-12,35.7897044,128.3951788
고령군 다산면 다산산단로 54-58,35.7913595,128.3893093
고령군 다산면 성암로 566,35.7981491,128.3924026
고령군 쌍림면 방아실길 73,35.6931171,128.2401477
고령군 다산면 다산산단1길 12,35.7884114,128.3936646
구미시 1공단로6길 166,36.0870806,128.3758461
구미시 1공단로 168,36.1005205,128.3807412
구미시 1공단로 251,36.1034988,128.3920696
구미시 구미대로 102,36.0950257,128.3649653
구미시 1공단로4길 141-11,36.0912901,128.3719351
구미시 1공단로4길 141-11,36.0912901,128.3719351
구미시 1공단로4길 141-11,36.0912901,128.3719351
구미시 1공단로4길 96,36.0932806,128.3700377
구미시 3공단2로 300,36.1087832,128.4084866
구미시 4공단로 249-29,36.1345195,128.4419831
구미시 1공단로6길 134,36.0902859,128.3754383
구미시 1공단로7길 58-11,36.1085367,128.378725
구미시 3공단2로 108,36.0899611,128.4086246
구미시 3공단2로 108,36.0899611,128.4086246
구미시 3공단2로 82-34,36.08697,128.4101148
구미시 3공단2로 143,36.0936846,128.4050892
구미시 3공단2로 209,36.0996792,128.4037195
구미시 3공단2로 174,36.0947837,128.4089338
구미시 수출대로 228,36.1091155,128.3893485
구미시 3공단2로 238,36.1011335,128.4088712
구미시 3공단2로 238,36.1011335,128.4088712
구미시 3공단2로 238,36.1011335,128.4088712
구미시 수출대로 435,36.1130107,128.4117797
구미시 임수로 53,36.1154087,128.4017961
구미시 임수로 53,36.1154087,128.4017961
구미시 3공단3로 132-11,36.0943391,128.4124407
구미시 3공단3로 242,36.1014783,128.4137164
구미시 3공단3로 46-61,36.0869343,128.4131649
구미시 4공단로 161-43,36.1357439,128.4329624
구미시 4공단로 44,36.1321339,128.4211967
구미시 4공단로7길 53-29,36.1360998,128.4347388
구미시 고아읍 송평구길 138-9,36.1710401,128.3746514
구미시 구미대로 58,36.0910148,128.3659317
구미시 구미대로 58,36.0910148,128.3659317
구미시 구미대로 58,36.0910148,128.3659317
구미시 옥계2공단로5길 7,36.1300011,128.4153581
구미시 4공단로10길 23-24,36.1269016,128.4452095
구미시 남구미로 29,36.0842794,128.3786919
구미시 남구미로 69,36.0847272,128.3835686
구미시 산동면 봉산리 87,36.1464175,128.4566015
구미시 산동면 첨단기업1로 87,36.1421725,128.4472564
구미시 산동면 송백로 499,36.1822615,128.4787086
구미시 산동면 첨단기업7로 50,36.1496664,128.437823
구미시 산촌옥관로 8,36.3046094,128.2177937
구미시 산호대로 50,36.0876734,128.3864145
구미시 수출대로 168,36.1093413,128.3838948
구미시 산호대로 77,36.090621,128.3834718
구미시 산호대로 77,36.090621,128.3834718
구미시 수출대로7길 50-9,36.116175,128.3793249
구미시 옥계2공단로 221,36.1279145,128.4130396
구미시 산호대로 92,36.0916153,128.387894
구미시 성림길 26,36.1600416,128.4195443
구미시 수출대로 375,36.112329,128.4052637
구미시 수출대로 375,36.112329,128.4052637
구미시 수출대로 41,36.1119673,128.3699765
구미시 수출대로 48,36.107055,128.3706321
구미시 수출대로 48,36.107055,128.3706321
구미시 수출대로 48,36.107055,128.3706321
구미시 수출대로 491,36.1116306,128.4186047
구미시 수출대로3길 68-20,36.1164232,128.3731955
구미시 수출대로7길 11,36.112556,128.3765839
구미시 수출대로9길 80,36.1189263,128.3802823
구미시 옥계2공단로 13,36.1125027,128.4156047
구미시 첨단기업7로 77-21,36.1506899,128.4419103
구미시 첨단기업로 178,36.1458525,128.4534735
구미시 1공단로6길 121,36.0917958,128.377964
구미시 1공단로6길 78,36.0955093,128.3756119
구미시 옥계2공단로 125,36.1202512,128.4103134
경북 구미시 수출대로 97,36.1113615,128.3755152
구미시 산동면 첨단기업5로 140-22,36.1462328,128.4448336
구미시 1공단로6길 103-53,36.0949788,128.3792086
군위군 군위읍 경북대로 4052,36.2643718,128.5731459
군위군 의흥면 동부로 935-14,36.1706995,128.730467
김천시 공단1길 34,36.1408717,128.1430931
김천시 공단1길 83-16,36.1456624,128.1405071
김천시 공단3길 156,36.1538287,128.1209819
김천시 산업단지4로 75,36.161571,128.116879
김천시 공단3길 64,36.1525931,128.1311698
김천시 공단3길 64,36.1525931,128.1311698
김천시 공단3길 94,36.1536533,128.126724
김천시 공단로 128,36.1458368,128.1385416
김천시 공단로 238,36.1475026,128.1278031
김천시 응명동 300-2,36.1458848,128.1286372
김천시 공단로 213,36.1454482,128.12982
김천시 농공단지2길 30,36.1321265,128.1321046
김천시 어모면 산업단지로 39,36.161571,128.116879
김천시 농공단지1길 30,36.1308525,128.1333112
김천시 영남대로 1192,36.1271912,128.0666176
김천시 영남대로 1192,36.1271912,128.0666176
문경시 배실안길 94,36.621267,128.1766076
문경시 신기공단2길 37,36.6351007,128.1734948
봉화군 석포면 승부길 16,37.0427591,129.058621
봉화군 석포면 승부길 253,37.0363397,129.0574989
봉화군 재산면 장군길 231,36.8583277,129.0631747
상주시 발산로 135,36.4566306,128.1764668
상주시 천택로 560-31,36.4391437,127.8894499
상주시 선상서로 2389-66,36.371919,128.1823067
성주군 성주읍 성주산업단지로1길 99,35.9405175,128.2860019
안동시 풍산읍 절뒤길 52,36.600922,128.5389666
영주시 적서공단로 23,36.7934743,128.6238774
영천시 금호읍 강회3길 13-97,35.8918424,128.8779453
영천시 금호읍 오계공단길 1-67,35.9154442,128.8930229
영천시 북안면 돌할매로 284-14,35.9311151,129.0285841
영천시 오계공단길 1-61,35.9156556,128.8915007
칠곡군 기산면 주산로 1226-12,35.9865634,128.3856825
칠곡군 석적읍 3공단2로 6,36.0823582,128.4087607
칠곡군 석적읍 강변대로 2388,36.0789051,128.404335
칠곡군 약목면 경호천동길 14,36.0470781,128.3481817
칠곡군 약목면 교8길 83,36.0488905,128.3522207
칠곡군 왜관읍 공단로8길 167,35.9553047,128.4110417
칠곡군 왜관읍 공단로8길 203,35.9571746,128.4119028
칠곡군 석적읍 3공단1로 5,36.0897078,128.4040857
칠곡군 약목면 경호천동길 2,36.0466816,128.3468892
칠곡군 가산면 호국로 1206-45,36.0536724,128.4887738
대구광역시 북구 침산동 550,35.8943645,128.5889036
대구광역시 북구 노원동3가 182-12,35.8952378,128.5721272
대구광역시 북구 침산동 1501,35.8919569,128.5789179
대구광역시 북구 노원동3가 207-4,35.8965447,128.5660452
대구광역시 북구 노원동3가 224,35.89587,128.5673098
대구광역시 북구 칠성동2가 98-16외3,35.8821602,128.590654
대구광역시 북구 노원동3가 1005,35.8925203,128.5687237
대구광역시 북구 노원동3가 683-2,35.8903192,128.5606941
"대구광역시 북구 국우동 737-1,4",35.9486721,128.5751137
대구광역시 북구 매천동 526,35.9021574,128.5399542
대구광역시 북구 침산동 1217,35.8956857,128.579849
대구광역시 북구 침산동 1026-1,35.899674,128.5815253
대구광역시 북구 노원동3가 1109-1,35.8949734,128.574087
대구광역시 북구 침산동 1137-2,35.896629,128.5816016
대구광역시 북구 침산동 1112-8,35.8961384,128.5831389
대구광역시 북구 노원동3가 520-1,35.8931583,128.5537081
대구광역시 북구 침산동 688,35.9019195,128.5903222
대구광역시 북구 침산동 997,35.903174,128.5801805
대구광역시 북구 침산동 1010-2,35.9003578,128.5810318
대구광역시 북구 동변동 273,35.9227186,128.6007686
대구광역시 북구 노원동3가 20-1,35.9019029,128.5763106
대구광역시 북구 노원동3가 709-4,35.8914222,128.5620787
대구광역시 북구 침산동 693,35.9011351,128.5900039
대구광역시 북구 침산동 1223,35.8950406,128.581662
대구광역시 북구 노원동2가 18-1,35.8933864,128.5759243
대구광역시 북구 노원동3가 58-3,35.9020309,128.5698663
대구광역시 북구 노원동3가 69,35.8989441,128.569832
대구광역시 북구 침산동 929-3,35.9021613,128.5817795
대구광역시 북구 산격동 1289-4,35.8982905,128.6139335
대구광역시 북구 노원동3가 616,35.8919084,128.5569736
대구광역시 북구 산격동 1370,35.8898417,128.6126953
대구광역시 북구 노원동3가 428-2,35.8936847,128.5595326
대구광역시 북구 노원동3가 512,35.8933533,128.5544195
대구광역시 북구 노원동3가 479-3,35.8949299,128.5569084
대구광역시 북구 검단동 887-4,35.9093203,128.6187661
대구광역시 북구 노원동3가 74-18,35.8984753,128.5709884
대구광역시 북구 읍내동 1341-5,35.9349066,128.5492967
대구광역시 북구 노원동3가 557,35.8915668,128.5554194
대구광역시 북구 노원동3가 229-4,35.8954883,128.5683495
대구광역시 북구 노원동3가 485-1,35.8936709,128.5551239
대구광역시 북구 노원동3가 714,35.8917157,128.5629282
대구광역시 북구 태전동 257-2,35.9235765,128.5440856
대구광역시 북구 노원동3가 473-7,35.8956877,128.5594781
대구광역시 북구 침산동 932-3,35.9014642,128.5809357
대구광역시 북구 노원동3가 1121,35.8952231,128.5757714
대구광역시 북구 노원동3가 36-3,35.8984907,128.5745821
대구광역시 북구 노원동3가 61-6,35.9004879,128.5675854
대구광역시 북구 동천동 956-1,35.9421193,128.5570242
대구광역시 북구 국우동 730-6,35.9489798,128.5761734
대구광역시 북구 침산동 1049,35.8992819,128.5811524
대구광역시 북구 노원동3가 232-1,35.8950783,128.5668046
대구광역시 북구 노원동3가 722-4,35.8908105,128.5635598
대구광역시 북구 검단동 747-5,35.9147628,128.6249577
대구광역시 북구 침산동 842,35.9010567,128.5848399
대구광역시 북구 태전동 390,35.9299006,128.5427769
대구광역시 북구 태전동 832-1,35.9113349,128.5488412
대구광역시 북구 노원동3가 6-2,35.9024871,128.575515
대구광역시 북구 노원동3가 1202-5,35.9012383,128.5782355
대구광역시 북구 노원동3가 1202-5,35.9012383,128.5782355
대구광역시 북구 산격동 662-3외4필,35.902386,128.5978654
대구광역시 북구 노원동3가 636,35.8903982,128.5580386
대구광역시 북구 노원동3가 261-3,35.8947565,128.5620214
대구광역시 북구 읍내동 551-1외5필,35.9718448,128.5383737
대구광역시 북구 태전동 833-1,35.9106655,128.5487768
대구광역시 북구 노원동1가 9-9,35.8888616,128.581948
대구광역시 북구 노원동3가 56-29,35.9024149,128.5727039
