회사명,대표자명,공장대표주소,전화번호,생산품,업종명
(주)가야아스콘,강동훈,경상남도 합천군 묘산면 영서로 1651-58,055-932-5861,아스팔트+콘크리트,
(주)가회청목주가,이병웅,경상남도 합천군 가회면 덕촌길 167-1,055-932-9130,주류,
(주)구포국수,허영민,경상남도 합천군 가회면 황매산로 183,055-933-1300,건면(국수),
(주)글로벌오토클래드 합천공장,이쌍근,경상남도 합천군 합천읍 계림1길 45,055-931-4360,이종금속+판재+관재,
(주)담양대나무,박염미,경상남도 합천군 삼가면 신평3길 11,055-932-9888,대나무제품,
(주)대경21세기,이소순,경상남도 합천군 용주면 황계폭포로 715,055-932-1632,화장품업,
(주)대유인터내셔날 야로공장,황선철,경상남도 합천군 야로면 나대길 57,055-931-8104,화섬직물,
(주)동천수 가야산샘물,박철호,경상남도 합천군 묘산면 영서로 1724-12,054-531-2003,생수,
(주)둥지산업,이동일,경상남도 합천군 가야면 매화산로 55,055-931-7020,참숯벽돌+참숯보드+토벽돌,
(주)라파클린텍,허덕규,경상남도 합천군 초계면 동부로 1049,055-931-3001,마스크,
(주)반도전기통신,강길수,경상남도 합천군 합천읍 옥산로 126,055-932-5889,전기경보+신호장치+유선통신기기,
(주)보광아스콘,차봉현+전기열,경상남도 합천군 율곡면 대야로 1669,055-934-1042,아스팔트제품,
(주)보림산업,윤홍석,경상남도 합천군 용주면 연촌우곡길 165-24,055-931-0700,플라스틱관+레미콘+콘크리트관,
(주)상원그린콘,김정숙,경상남도 합천군 율곡면 황강옥전로 300,055-932-9200,세굴방지블록,
(주)세농유비농업회사법인,조영현,경상남도 합천군 율곡면 동부로 899-48,055-931-6004,유기질비료+비료,
(주)제일종합식품,유영석,경상남도 합천군 대양면 대야로 540,055-934-0130,냉면+축산가공식품,
(주)주원산업,류혜영,경상남도 합천군 초계면 동부로 993,055-931-5504,시멘트기와+식생호안블럭+식생축조블럭,
(주)프론테크,상보균,경상남도 합천군 야로면 보탑길 33,055-933-4700,신체장애인용 운송장비,
(주)한국세라믹,이미향,경상남도 합천군 가야면 사촌3길 2,,생활도자기+내열냄비,
(주)한솔글러브,한영석,경상남도 합천군 묘산면 영서로 1792,,면장갑+코팅장갑,
(주)한일석재,신외순,경상남도 합천군 묘산면 묘산로 106,055-933-1424,건축자재(석제품),
(주)한주,임혜경,경상남도 합천군 청덕면 동부로 2188,055-934-2182,사료,
(주)합천레미콘,양철진,경상남도 합천군 합천읍 마령로 401-26,055-932-8400,레미콘,
(주)해인기공,김은필,경상남도 합천군 가야면 가야시장로 71-11,055-932-7927,요업기계,
가야벽돌(주),이현주,경상남도 합천군 가야면 가조가야로 2263,055-932-7631,벽돌+블록,
가야황토벽돌,이병화,경상남도 합천군 가야면 구미가천로 89,055-931-5908,황토벽돌,
강파도예,김일,경상남도 합천군 가야면 가야산로 1339,055-932-9998,도자기,
거다월드,정한률,경상남도 합천군 청덕면 송기1길 11-31,055-933-7933,폐비닐재생칩,
경원요업,김홍식,경상남도 합천군 가야면 사촌3길 2,055-931-5689,생활도자기,
고려인바이오식품,정인기,경상남도 합천군 쌍백면 평구묵골길 283-112,055-932-5507,쌀바이오생산,
구포국수,조필연,경상남도 합천군 가회면 황매산로 81,055-933-1300,국수+국수유사제품,
남경도자기,강원자,경상남도 합천군 가야면 매화산로 98,055-933-8326,가정용생활도자기,
농업회사법인 한국메디아(주),정민화,경상남도 합천군 적중면 양림길 35-56 ,055-933-2575,사료업+기타비료+질소화합물,
농업회사법인 합천유통 주식회사,장문철,경상남도 합천군 합천읍 대야로 1184,055-933-9100,양파즙,
농업회사법인(주)호암,정현세,경상남도 합천군 대병면 장단3길 42-39,055-932-5706,장류,
늘푸른자원(주),이상훈,경상남도 합천군 청덕면 초곡3길 10,055-933-6833,숯,
대경,원화자+원경숙,경상남도 합천군 야로면 하빈1길 34-16,055-932-8815,도자기(유골함),
대경케미칼(주),박주원,경상남도 합천군 율곡면 대야로 1707,055-933-0090,동합금+금합금+기타합금,
대영농산,박판규,경상남도 합천군 묘산면 마령로 1147-16,055-931-4270,보온덮개,
대정식품,허재혁,경상남도 합천군 가회면 서부로 897,055-931-7713,조청엿+쌀엿,
대평요업,김춘식,경상남도 합천군 가야면 매화산로 80,055-934-0444,생활도자기,
덕곡영농조합법인,황주석,경상남도 합천군 덕곡면 오광대로 1095,055-933-1143,다진 마늘,
동림요업,류말임,경상남도 합천군 묘산면 영서로 2345,055-931-7948,도자기,
땅살림 영농조합법인,안희복,경상남도 합천군 초계면 우회로 232-2,055-932-1500,비료화합물+질소화합물,
미래농,변광수,경상남도 합천군 초계면 하남2길 4,055-931-6777,황토정제품,
미래바이오,이상범,경상남도 합천군 적중면 양림길 35-56,055-933-2564,복합비료,
반달콘크리트(주),최성환,경상남도 합천군 율곡면 동부로 268-11,055-931-5045,콘크리트 타일+기와+벽돌,
백일정미소,구병기,경상남도 합천군 삼가면 일부4길 9,055-932-4500,정미+정백,
산두식품,정광환,경상남도 합천군 묘산면 거산1길 28,055-931-7386,떡국+메주+미숫가루+된장+간장,
삼상식품공업사,유명희,경상남도 합천군 청덕면 동부로 2098,055-931-1882,계량메주+재래식메주,
삼성요업,장운오,경상남도 합천군 가야면 가조가야로 2884,055-931-7011,생활도자기,
상우산업사,우동철,경상남도 합천군 쌍책면 황강옥전로 1657-20,055-931-9475,직조물,
서진산업,전강순,경상남도 합천군 쌍책면 오광대로 43,055-932-2612,고무,
성경산업(주),이현호,경상남도 합천군 가야면 매화산로 56-9,055-932-9966,황벽돌+파이프,
성심식품,정주찬,경상남도 합천군 야로면 가야산로 262-8,055-931-1826,미숫가루,
성호섬유,이장호,경상남도 합천군 야로면 보탑길 28,055-931-5431,PE망사,
세라테크,주혜영,경상남도 합천군 가야면 가조가야로 2594,055-931-9670,생활자기,
세림알칼리온,구민정,경상남도 합천군 가야면 매화산로 56-3,055-932-0758,도자기,
승완도자기,서용호,경상남도 합천군 가야면 매화산로 618,055-931-4975,커피잔,
엘림수출포장공업사,박수인,경상남도 합천군 야로면 영서로 2613,055-932-6327,포장용지+상자,
운포도예,오석홍,경상남도 합천군 가야면 매화2길 6-9,055-932-2498,장식용도자기,
유림산업,최귀순,경상남도 합천군 덕곡면 본곡길 57,055-932-3114,몰타르,
유신도자기,손은석,경상남도 합천군 가야면 가야산로 1276-1,055-932-7982,생활도자기,
유한회사알파,김임선,경상남도 합천군 초계면 양동로 181,055-933-9330,끈+로프,
일흥도자기,변종덕,경상남도 합천군 야로면 금평길 102,055-933-2888,생활도자기,
장원유니크,이치우,경상남도 합천군 쌍백면 쌍백중앙로 589-10,055-934-2882,광케이블용 클램프,
전진바이오팜(주),이태훈,경상남도 합천군 야로면 보탑길 25-22,055-933-7196,아미노산제(보조사료),
제일석재,전영효,경상남도 합천군 쌍책면 황강옥전로 1057,055-933-1454,석재품,
조사당,조무강,경상남도 합천군 삼가면 남명로 424-1,055-931-1494,차류가공품,
주식회사 숯과 황토이야기 합천지사,최항,경상남도 합천군 가야면 매화산로 32,055-934-1160,생활도자기+타일+보드,
주식회사 장수촌,강석주,경상남도 합천군 야로면 월광2길 7,055-931-8281,정자+퍼컬리+목제품,
주식회사 해인사통,차승우+이현우,경상남도 합천군 가야면 가야산로 1140,,된장+고추장+간장+청국장,
주식회사 흙사랑,정인호,경상남도 합천군 합천읍 계림1길 64,055-932-3603,황토타일,
청원도예,박호용,경상남도 합천군 가야면 청량동길 30,055-932-7977,도자기,
초계석재,박귀동,경상남도 합천군 율곡면 동부로 899-8,055-931-0455,판재+석물상석+비석,
칼라팬시,황수미,경상남도 합천군 삼가면 삼가로 51,055-931-0227,노트+색상지+색종이,
토광천추도예,한영덕,경상남도 합천군 가야면 구원2길 26-27,055-932-8535,도자기,
한국디자인센터,박영수,경상남도 합천군 대병면 서부로 2421,055-932-0011,생활도자기+주방용 도자기 홈세트,
한영바이오(주),한영희+박종성,경상남도 합천군 청덕면 동부로 2188,055-932-3939,퇴비,
한진요업,배진한,경상남도 합천군 가야면 가조가야로 2745,055-933-6979,생활도자기,
합천고가송주,윤광주,경상남도 합천군 대병면 서부로 2553,055-933-8880,전통주,
첫눈에반한딸기유통센터,합천군수,경상남도 합천군 율곡면 제내로 74,055-930-3463,딸기가공품,
합천산림조합,강병문,경상남도 합천군 용주면 합천호수로 947-137,055-931-2023,톱밥,
합천농협연합미곡종합처리장,노태윤,경상남도 합천군 합천읍 마령로 240,055-931-5543,쌀,
합천명품토종돼지,유달형,경상남도 합천군 묘산면 묘산로 229,055-931-1131,돼지고기 포장육,
합천생약가공영농조합법인,백문기,경상남도 합천군 합천읍 내곡길 16,055-933-0770,생약+식품원료,
합천우리밀영농조합법인,김상복,경상남도 합천군 초계면 양동로 81,055-932-2563,국수+밀가루,
합천우리식품,박종옥,경상남도 합천군 삼가면 모의로 70-3,055-931-8889,된장+재래식간장,
합천축산업협동조합,주영길,경상남도 합천군 율곡면 임북1길 25,055-932-8000,섬유질사료,
합천합동양조장,박봉하,경상남도 합천군 합천읍 충효로 55,055-931-2032,탁주,
합천호농업협동조합,손덕봉,경상남도 합천군 대병면 대지3길 10,055-933-7006,쌀,
형제도자기,권혁례,경상남도 합천군 가야면 구미가천로 107,055-931-9789,생활도자기,
형제영농조합법인,박용수,경상남도 합천군 청덕면 초곡3길 62,055-932-9996,비료+질소화합물,
