회사명,대표자명,전화번호,공장대표주소,업종명,데이터기준일자,생산품
(주)디에스티,"박종대, 김대식",054-933-5274,성주군 선남면 나선로 945,내연기관 제조업 외 1 종,2018-07-31,
(주)디지에쓰,권준헌,054-931-9567,성주군 선남면 성주로 3758,그외 기타 자동차 부품 제조업,2018-07-31,
(주)명륜산업,이종선,054-931-3872,성주군 월항면 지산로 179,표면가공목재 및 특정 목적용 제재목 제조업,2018-07-31,
(주)디에스티,"박종대, 김대식",054-933-5274,성주군 선남면 나선로 949,내연기관 제조업 외 1 종,2018-07-31,
(주)디지에쓰,권준헌,054-931-9567,성주군 선남면 관용로 297,그외 기타 자동차 부품 제조업,2018-07-31,
(주)디에스테크,정인호,054-931-1335,성주군 용암면 사곡공단2길 28,그외 기타 플라스틱 제품 제조업,2018-07-31,
(주)디엘컴퍼니,이영순,,성주군 선남면 취곡리 264-2번지,가정용 전기 난방기기 제조업,2018-07-31,
(주)럭키산업,오덕숙,054-933-7288,성주군 월항면 대산2길 22-62,일반용 도료 및 관련제품 제조업,2018-07-31,
(주)명성이앤티,김미애,,성주군 용암면 대송로 92,표면가공목재 및 특정 목적용 제재목 제조업,2018-07-31,
(주)미래환경산업,권순호,054-932-6999,성주군 성주읍 주천로 220-45,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",2018-07-31,
(주)모아,송재동,054-933-9210,성주군 선남면 문방공단길 8,화학섬유직물 직조업 외 2 종,2018-07-31,
(주)무창,이원석,042-586-0357,성주군 선남면 도성2길 75,일반용 전기 조명장치 제조업 외 5 종,2018-07-31,
(주)무안,윤상원,054-931-4300,성주군 용암면 용정공단길 26,연사 및 가공사 제조업,2018-07-31,
(주)무계상사,유명하,053-943-3119,성주군 용암면 용정리 55-7 번지,기타 비료 및 질소화합물 제조업,2018-07-31,
(주)미강기업,이한수,053-566-6183,성주군 선남면 문방길 25-27,컨베이어장치 제조업 외 1 종,2018-07-31,
(주)미성공업,전태룡,054-931-6030,성주군 초전면 대장2길 16-10,레미콘 제조업,2018-07-31,
(주)미래엔비텍,이범춘,054-933-0800,성주군 선남면 나선로 987-37,중앙난방보일러 및 방열기 제조업 외 10 종,2018-07-31,
(주)백봉환경산업,황현식,054-933-0356,성주군 용암면 사곡공단1길 31,비금속원료 재생업,2018-07-31,
(주)부강산업,서순애,054-932-5721,성주군 용암면 사곡길 16,그외 기타 고무제품 제조업 외 1 종,2018-07-31,
(주)미래산업,손명숙,054-932-4355,성주군 성주읍 주천로 153,그외 기타 플라스틱 제품 제조업 외 2 종,2018-07-31,
(주)미성에이엠스틸,장현주,,성주군 성주읍 삼산리 23-7번지,농업 및 임업용 기계 제조업,2018-07-31,
(주)보몽드,김원섭,053-586-7719,성주군 선남면 동암리 410-11번지,침구 및 관련제품 제조업,2018-07-31,
(주)보권인더스트리,심점순,054-933-1950,성주군 용암면 운용로 1478-23,직물포대 제조업,2018-07-31,
(주)부성,도기수,054-931-1406,성주군 용암면 상언리 산 63번지,화학섬유직물 직조업,2018-07-31,
(주)삼부테크,변태수,054-932-2116,성주군 초전면 주천로 353-22,비금속원료 재생업,2018-07-31,
(주)삼화산업,최응수,054-931-6224,성주군 월항면 장산리 877번지,가공 및 재생 플라스틱원료 생산업,2018-07-31,
(주)삼보섬유,김용문,054-931-0696,성주군 성주읍 삼산3길 25-7,화학섬유직물 직조업,2018-07-31,
(주)삼보공영,차문수,054-932-4286,성주군 월항면 유월리 981-1번지,금속 조립구조재 제조업,2018-07-31,
(주)삼정특수고무,유화순,054-931-4765,성주군 용암면 기산3길 11,산업용 비경화고무제품 제조업,2018-07-31,
(주)삼일포장,최명근,054-931-3157,성주군 선남면 선노로 588,골판지 및 골판지상자 제조업,2018-07-31,
(주)상록농산,김영두,054-933-6218,성주군 수륜면 신정3길 2,기타 비료 및 질소화합물 제조업,2018-07-31,
(주)서림,김기필,054-933-6600,성주군 선남면 문방공단길 150,화학섬유직물 직조업,2018-07-31,
(주)새한테크,최상민,054-933-3303,성주군 대가면 용흥리 896번지,"금속 문, 창, 셔터 및 관련제품 제조업",2018-07-31,
(주)성원화이바,김은진,054-932-8607,성주군 초전면 칠선리 110번지,합성섬유 제조업,2018-07-31,
(주)상신산업,우종수,054-933-8954,성주군 용암면 용정공단길 20,비금속광물 분쇄물 생산업 외 1 종,2018-07-31,
(주)선진,이창원,054-931-2295,성주군 대가면 도남리 662번지,금속압형제품 제조업,2018-07-31,
(주)성우,장상석,054-931-9132,성주군 선남면 선노로 276-4,그외 기타 플라스틱 제품 제조업,2018-07-31,
(주)상산기계,김광식,054-716-0033,성주군 선남면 동암리 524-2번지,산업용 로봇 제조업,2018-07-31,
(주)서인산업,모정숙,054-931-0993,성주군 용암면 덕평로 98,"플라스틱 선, 봉, 관 및 호스 제조업",2018-07-31,
(주)성산후레쉬,윤근식,,성주군 성주읍 용대로 69,가금류 가공 및 저장 처리업,2018-07-31,
(주)성문케미칼,임영 외 1인,02-877-7200,성주군 초전면 주천로 1427,구조용 정형내화제품 제조업,2018-07-31,
(주)성진산업,박연화,054-933-6693,성주군 선남면 용신리 902,금속 조립구조재 제조업,2018-07-31,
(주)세명,임성일,054-931-9022,성주군 선남면 관용로 497,합성수지 및 기타 플라스틱물질 제조업,2018-07-31,
(주)세원콘크리트 2공장,박용택,054-933-0686,성주군 선남면 나선로 1002-13,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",2018-07-31,
(주)세화이앤씨,이창희,,성주군 선남면 명관로 337-42,그외 기타 금속가공업,2018-07-31,
(주)세광산업,배효문,054-931-8575,성주군 월항면 유월공단길 39,기타 방적업,2018-07-31,
(주)세원콘크리트,박용택,054-933-0686,성주군 선남면 나선로 1002-13,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",2018-07-31,
(주)성창기공,이호문,054-932-3314,성주군 성주읍 금산리 27-2번지,분사기 및 소화기  제조업 외 1 종,2018-07-31,
(주)세진케미칼,주용범,,성주군 용암면 사곡공단1길 37,가공 및 재생 플라스틱원료 생산업,2018-07-31,
(주)세종산업,박재호,,성주군 선남면 취곡리 266-6번지,구조용 금속판제품 및 금속공작물 제조업,2018-07-31,
(주)소포스,진성우,054-931-9478,성주군 선남면 신부길 81-28,판유리 가공품 제조업,2018-07-31,
(주)수촌임산,여영동,054-931-2257,성주군 벽진면 성주로 2318,천연수지 및 나무화학물질 제조업,2018-07-31,
(주)씨에이피코리아,조치형 곽충보,054-933-0778,성주군 선남면 취곡리 182번지,"플라스틱 선, 봉, 관 및 호스 제조업 외 3 종",2018-07-31,
(주)아이앤씨하이텍,이영자,054-931-7708,성주군 선남면 용신공단길 10-15,도장 및 기타 피막처리업,2018-07-31,
(주)수복,서동환,054-931-3210,성주군 용암면 상언공단길 24-6,연사 및 가공사 제조업,2018-07-31,
(주)신우랜드,이경수,054-932-1509,성주군 용암면 동락2길 54,놀이터용 장비 제조업 외 1 종,2018-07-31,
(주)아성산업,권용학,054-933-7768,성주군 선남면 동암리 410번지,그외 기타 분류안된 섬유제품 제조업,2018-07-31,
(주)솔상스틸,신상욱,053-586-4405,성주군 선남면 도흥리 791-1번지,그외 기타 금속가공업,2018-07-31,
(주)신광하이텍,백남열,054-933-0787,성주군 선남면 용신리 571번지,전자집적회로 제조업,2018-07-31,
(주)승훈,이승훈,054-931-7681,성주군 선남면 관용로 341,기타 방적업,2018-07-31,
(주)씨제이테크,배충재,054-933-8423,성주군 용암면 운용로 959,강관 제조업,2018-07-31,
(주)아이에스전자,정현상,,성주군 선남면 신부리 507-1,기타 절연선 및 케이블 제조업,2018-07-31,
(주)아주공영,이종억,054-931-5486,성주군 용암면 본리리 396-2번지,금속 조립구조재 제조업,2018-07-31,
(주)알찬,노학진,054-931-9876,성주군 초전면 문덕로 147,기타 비료 및 질소화합물 제조업,2018-07-31,
(주)에스아이산업,오미경,054-931-1930,성주군 성주읍 용산리 159번지,금속 조립구조재 제조업,2018-07-31,
(주)아인합섬,박종국,054-933-4341,성주군 초전면 용봉리 384번지,비금속원료 재생업,2018-07-31,
(주)알알이푸드,윤지영,054-931-1130,성주군 초전면 용소길 192-3,장류 제조업,2018-07-31,
(주)에스디,김주현,,성주군 선남면 용신리 898-5 번지,포장용 플라스틱 성형용기 제조업,2018-07-31,
(주)알씨엠,조용식,054-931-0441,성주군 용암면 사곡길 34-8,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",2018-07-31,
(주)아천공업사,한유종,054-931-0495,성주군 초전면 초전공단길 59,판유리 가공품 제조업 외 1 종,2018-07-31,
(주)앞선환경,유경자,054-931-8077,성주군 선남면 선노로 545-37,동물용 사료 및 조제식품 제조업,2018-07-31,
(주)에스아이티,김철원,054-931-8350,성주군 월항면 주산로 540,그외 기타 전자부품 제조업,2018-07-31,
(주)에스엠,이경환,054-931-4713,성주군 선남면 명관로 337-31,"합성염료, 유연제 및 기타착색제 제조업",2018-07-31,
(주)에이치앤티,배휘경,,성주군 벽진면 봉계리 289번지,그외 기타 분류안된 비금속 광물제품 제조업 외 1 종,2018-07-31,
(주)엔피에코텍스,백병욱,054-932-0057,성주군 선남면 선노로 540-41,벽 및 바닥 피복용 플라스틱제품 제조업,2018-07-31,
(주)에스엘다이아몬드,"이주형,박선규",054-931-9083,성주군 선남면 선노로 55-41,분말야금제품 제조업,2018-07-31,
(주)에이엔티,조동석,054-933-7198,성주군 선남면 신부길 6,그외 기타 자동차 부품 제조업,2018-07-31,
(주)에스알,조진형,,성주군 선남면 관화리 776-3번지,그외 기타 플라스틱 제품 제조업,2018-07-31,
(주)에스지테크툴,지만선,054-932-0151,성주군 선남면 명관로 346,톱 및 호환성공구 제조업,2018-07-31,
(주)에이피엠,노충호,054-933-8229,성주군 월항면 장산리 935번지,그외 기타 플라스틱 제품 제조업 외 1 종,2018-07-31,
(주)에스엠테크,이상욱,,성주군 월항면 장산리 454-2번지,가공 및 재생 플라스틱원료 생산업,2018-07-31,
(주)에이치케이이노베이션,김호섭,054-931-3830,성주군 월항면 보암공단길 26-29,연사 및 가공사 제조업,2018-07-31,
(주)엠스코캐스텍,이영식,054-933-9166,성주군 월항면 유월공단길 73,알루미늄주물 주조업,2018-07-31,
(주)영창엘이디,이성일,054-930-2501,성주군 선남면 유서리길 174-12,그외 기타 전자부품 제조업,2018-07-31,
(주)엔에스피앤피,정효정,054-932-0186,성주군 용암면 사곡공단2길 6,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",2018-07-31,
(주)엠에스티,정태호,054-933-8551,성주군 선남면 관화리 1062번지,자동차 차체용 부품 제조업 외 1 종,2018-07-31,
(주)영일교구,권재국,054-932-0148,성주군 선남면 선원리 660번지,기타 목재가구 제조업,2018-07-31,
(주)엠에스엘,"정유진,박재형",054-933-7722,성주군 용암면 사곡공단2길 22,그외 기타 자동차 부품 제조업,2018-07-31,
(주)영승조경랜드,곽도훈,,성주군 선남면 선노로 540-9,놀이터용 장비 제조업,2018-07-31,
(주)예안,배건율,054-931-9904,성주군 월항면 세종대왕자태실로 113,기타 건축용 나무제품 제조업 외 10 종,2018-07-31,
(주)영남공업,박노칠,054-933-6071,성주군 선남면 관용로 190-39,기타 구조용 금속제품 제조업,2018-07-31,
(주)영창첨단소재,이승훈,054-931-2568,성주군 선남면 유서리 365-13번지,"플라스틱  적층, 도포 및 기타 표면처리 제품 제조업",2018-07-31,
(주)올림피아,정현숙,053-246-8168,성주군 대가면 용흥3길 21-24,그외 기타 고무제품 제조업,2018-07-31,
(주)용성테크,하창완,,성주군 선남면 명관로 337-122,농업 및 임업용 기계 제조업,2018-07-31,
(주)오피엘,박승진,054-933-0940,성주군 용암면 상언공단길 24-5,플라스틱 발포 성형제품 제조업,2018-07-31,
(주)와이지테크,박성혁,053-583-4031,성주군 선남면 소학리 757-12번지,금속 절삭기계 제조업,2018-07-31,
(주)우진목재,윤근식,054-931-6007,성주군 초전면 대장길 44-6,일반 제재업,2018-07-31,
(주)우주엠에이치티,강경열,,성주군 선남면 취곡리 249-7번지,금속 열처리업,2018-07-31,
(주)윈하이텍,김도한,,성주군 선남면 나선로 987-30,적층 및 표면처리 직물 제조업,2018-07-31,
(주)은성무역 성주공장,강경수,054-931-5273,성주군 선남면 문방공단길 136-17,연사 및 가공사 제조업,2018-07-31,
(주)이래산업,임종택,054-931-9127,성주군 선남면 용신리 643-14번지,"산업용 오븐, 노 및 노용 버너 제조업",2018-07-31,
(주)유진에코텍,김용진,054-930-8901,성주군 선남면 취곡리 330번지,"라이터, 연소물 및 흡연용품 제조업",2018-07-31,
(주)이노켐,최철호,054-933-1422,성주군 용암면 사곡공단2길 18,가공 및 재생 플라스틱원료 생산업,2018-07-31,
(주)유진,문분선,054-931-3112,성주군 월항면 지방리 254-1번지,포장용 플라스틱 성형용기 제조업,2018-07-31,
(주)은일,권태현,053-591-8488,성주군 선남면 도성3길 39-35,절삭가공 및 유사처리업,2018-07-31,
(주)은성텍스,김종일,054-931-4337,성주군 선남면 용신공단길 13,화학섬유직물 직조업,2018-07-31,
(주)이루테크,조현호,,성주군 선남면 취곡리 249-1번지,그외 기타 자동차 부품 제조업,2018-07-31,
(주)이화테크노,김찬수,054-932-5725,성주군 선남면 용신공단길 33,부직포 및 펠트 제조업,2018-07-31,
(주)이파그리드코리아,이승철,054-933-7833,성주군 선남면 선원2길 77,"플라스틱 필름, 시트 및 판 제조업 외 1 종",2018-07-31,
(주)일신에코플라텍,박정규,054-933-5390,성주군 선남면 문방길 363-19,비금속원료 재생업,2018-07-31,
(주)정한그린테크,정은미,054-931-6275,성주군 벽진면 봉흥로 118-40,기타 비료 및 질소화합물 제조업,2018-07-31,
(주)이송이엠씨 성주공장,송준구,054-931-0751,성주군 초전면 주천로 1281,기타 무선 통신장비 제조업 외 2 종,2018-07-31,
(주)정진텍스타일,정덕현,,성주군 선남면 소학리 757-6번지,특수직물 및 기타직물 직조업,2018-07-31,
(주)장현,김재우,054-931-2320,성주군 용암면 용정공단길 40,화학섬유직물 직조업,2018-07-31,
(주)제이에스텍스타일,한성기,,성주군 월항면 보암공단길 29,연사 및 가공사 제조업,2018-07-31,
(주)지호산업,정성태,053-585-4161,성주군 선남면 선노로 727,그외 기타 특수목적용 기계 제조업 외 6 종,2018-07-31,
(주)제이에스엘,조승래,054-931-6631,성주군 선남면 관용로 453-23,"알루미늄 제련, 정련 및 합금 제조업",2018-07-31,
(주)중원페이퍼,이중호,054-931-3120,성주군 선남면 용신리 898-6번지,그외 기타 종이 및 판지 제품 제조업,2018-07-31,
(주)지이엔씨,박귀범,,성주군 대가면 대금로 114,그외 기타 분류안된 비금속 광물제품 제조업,2018-07-31,
(주)제이앤디테크,정기복,,성주군 선남면 신부리 53-14번지,기계장비 조립용 플라스틱제품 제조업 외 2 종,2018-07-31,
(주)중원코리아,최일수,,성주군 용암면 성암로 1154-18,포장용 플라스틱 성형용기 제조업,2018-07-31,
(주)지엠앤에스,이가민,,성주군 선남면 신부리 461-5번지,포장용 플라스틱 성형용기 제조업,2018-07-31,
(주)조은이엔티,박해식,053-556-0055,성주군 선남면 성주로 3758-19,그외 기타 특수목적용 기계 제조업 외 3 종,2018-07-31,
(주)지에이치테크,백동현,054-933-9236,성주군 선남면 취곡리 266-12번지,선박 구성부분품 제조업,2018-07-31,
(주)진광레미콘,권수영,054-933-1388,성주군 용암면 운용로 1447,레미콘 제조업,2018-07-31,
(주)참그린자원,황금희,054-933-0555,성주군 선남면 명관로 337-34,그외 기타 고무제품 제조업,2018-07-31,
(주)천마산업건설,박호근,054-933-5106,성주군 용암면 용계리 683 번지,그외 기타 콘크리트 제품 및 유사제품 제조업 외 1 종,2018-07-31,
(주)진성통상,박중기,054-931-8158,성주군 선남면 나선로 932-38,"고무, 화학섬유 및 플라스틱 성형기 제조업 외 1 종",2018-07-31,
(주)창맥,이민세,054-931-0718,성주군 선남면 도성리 867-2번지,포장용 플라스틱 성형용기 제조업,2018-07-31,
(주)청진기업,배현숙,054-933-0558,성주군 선남면 도성리 산 37-10번지,비금속광물 분쇄물 생산업,2018-07-31,
(주)창대산업,최기영,054-931-3677,성주군 성주읍 대황4길 25,연사 및 가공사 제조업,2018-07-31,
(주)청진이엔씨 본점,"박명진, 박중걸",054-931-2001,성주군 선남면 관용로 190-88,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 2 종",2018-07-31,
(주)청진이엔씨,박명진,054-931-9081,성주군 용암면 성암로 1154-22,콘크리트관 및 기타 구조용 콘크리트제품 제조업,2018-07-31,
(주)케이비하이텍,서재호,053-383-5315,성주군 선남면 명관로 413-5,그외 기타 분류안된 금속가공제품 제조업,2018-07-31,
(주)케이엔테크,구복순,054-931-5542,성주군 월항면 유월리 1111번지,그외 기타 분류안된 금속가공제품 제조업,2018-07-31,
(주)청진산업,배현숙,054-933-8011,"성주군 선남면 성주로 4234-32,",토목공사 및 유사용 기계장비 제조업,2018-07-31,
(주)케이비친환경,임휘용,,성주군 금수면 성주로 1941-15,농업 및 임업용 기계 제조업 외 1 종,2018-07-31,
(주)케이에스엠,박금용,054-933-9450,성주군 선남면 관용로 195,철도차량부품 및 관련장치물 제조업,2018-07-31,
(주)케스텍,양인벽,054-931-2707,성주군 선남면 선노로 545-60,선철주물 주조업,2018-07-31,
(주)케이엠씨,김용규,054-931-0578,성주군 선남면 명관로 337-100,배전반 및 전기자동제어반 제조업,2018-07-31,
(주)키이엔지니어링,서  정,062-954-4921,성주군 선남면 용신리 643-14번지,"산업용 오븐, 노 및 노용 버너 제조업",2018-07-31,
(주)크레진,김경웅,054-931-1488,성주군 선남면 문방공단길 107,합성수지 및 기타 플라스틱물질 제조업 외 1 종,2018-07-31,
(주)태일스틸,김성숙,053-614-7373,성주군 선남면 관화리 1055-1번지,금속선 가공제품 제조업,2018-07-31,
(주)코레쉬텍성주공장,안홍태,054-716-1234,성주군 성주읍 성산8길 34-5,차류 가공업,2018-07-31,
(주)페루프,박서정,054-933-9322,성주군 선남면 선원2길 8,구조용 금속판제품 및 금속공작물 제조업,2018-07-31,
(주)태영기업,김진국,054-933-0548,성주군 선남면 용신리 1073-7번지,일반 제재업 외 6 종,2018-07-31,
(주)티앤씨원,권기정,,성주군 용암면 사곡공단2길 28,기타 조명장치 제조업,2018-07-31,
(주)피다텍,장성기,054-933-9772,성주군 선남면 선노로 25,그외 기타 전자부품 제조업,2018-07-31,
(주)태한환경유통,변점하,054-933-0987,성주군 선남면 도성3길 90,기타 비료 및 질소화합물 제조업,2018-07-31,
(주)한국유화,윤필수,,성주군 월항면 장산리 206번지,화장품 제조업 외 1 종,2018-07-31,
(주)한도정밀,이식우,,성주군 선남면 취곡리 249-3번지,자동차부품,2018-07-31,
(주)한성엔지니어링,이종희,054-931-9991,성주군 선남면 문방공단길 136,기타 가공공작기계 제조업,2018-07-31,
(주)한국테크,이종녕,053-592-6066,성주군 선남면 도성리 604-2번지,금속 조립구조재 제조업,2018-07-31,
(주)한림씨앤씨,박혜영,,성주군 용암면 본성로 164,금속 조립구조재 제조업,2018-07-31,
(주)한성이엔지,이권우,054-931-4520,성주군 월항면 주산로 452,그외 기타 일반목적용 기계 제조업,2018-07-31,
(주)한주테크,신월향,,성주군 선남면 도성리 872-7번지,금속 조립구조재 제조업,2018-07-31,
(주)현대화섬,손상모,054-932-4896,"성주군 월항면 유월공단길 59,",화학섬유직물 직조업,2018-07-31,
(주)화승테크,이재욱,,성주군 용암면 선송리 271 번지,주형 및 금형 제조업,2018-07-31,
(주)한일목재,김상용,054-931-8048,성주군 월항면 주산로 454,기타 건축용 나무제품 제조업 외 1 종,2018-07-31,
(주)햇토비,김영배,,성주군 금수면 후평리 1376번지,기타 비료 및 질소화합물 제조업,2018-07-31,
(주)화산하이텍,박성화,053-526-5577,성주군 선남면 관용로 376-8,기타 가공공작기계 제조업,2018-07-31,
(주)한양에스엔씨,도창길,053-628-6325,성주군 선남면 명관로 337-54,플라스틱 창호 제조업 외 2 종,2018-07-31,
(주)해성기업,양순남,054-931-3412,성주군 용암면 성암로 858,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",2018-07-31,
(주)혜성산업,김재도,054-932-9614,성주군 선남면 관용로 503,연사 및 가공사 제조업 외 1 종,2018-07-31,
(주)화인,윤상억,054-931-6688,성주군 선남면 선노로 540-33,자동차 차체용 부품 제조업,2018-07-31,
(주)황재레미콘,조승래,054-931-6811,성주군 선남면 나선로 1002-13,레미콘 제조업,2018-07-31,
SH케미칼,남승호,,성주군 용암면 용정공단길 30,가공 및 재생 플라스틱원료 생산업,2018-07-31,
LJ인터내셔널,김은철외1명,054-931-1444,성주군 성주읍 성주로 3421,편조제품 제조업,2018-07-31,
(주)화인,윤상억,054-931-6685,성주군 선남면 선노로 540-43,자동차 차체용 부품 제조업,2018-07-31,
(주)효진산업,전영재,,성주군 선남면 유서리길 183-45,금속선 가공제품 제조업 외 1 종,2018-07-31,
KSA폴리머코리아,김종진,,성주군 선남면 도성리 73-7번지,특수직물 및 기타직물 직조업,2018-07-31,
(주)효성산업,박태열,054-932-8377,성주군 용암면 나선로 469,농업 및 임업용 기계 제조업,2018-07-31,
SW테크,전상운,054-933-5734,성주군 선남면 도성리 860-1번지,그외 기타 자동차 부품 제조업,2018-07-31,
건우FMC,김건우,,성주군 선남면 명관로 337-14,그외 기타 분류안된 비금속 광물제품 제조업,2018-07-31,
가곡철강,이성임,,성주군 선남면 명포리 738번지,금속 조립구조재 제조업,2018-07-31,
가천산업사,신용근,054-933-4417,성주군 성주읍 대황길 20,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 2 종",2018-07-31,
YH테크,김명숙,,성주군 선남면 신부길 81-30,그외 기타 자동차 부품 제조업 외 1 종,2018-07-31,
가야산종합식품,이은순,054-931-3627,성주군 수륜면 수륜3길 140,전분제품 및 당류 제조업,2018-07-31,
가야맥식품,"권혁석,배호강",054-932-8972,성주군 대가면 옥련3길 47,식물성 유지 제조업,2018-07-31,
경동산업(주),이혜경,054-933-7377,성주군 선남면 유서리길 174-16,금속 조립구조재 제조업,2018-07-31,
경북친환경한돈영농조합법인,최재철,054-933-2955,성주군 성주읍 본성로 811-7,동물용 사료 및 조제식품 제조업,2018-07-31,
경원종합식품,김경훈,054-931-4655,성주군 선남면 도성2길 179,기타 육류 가공 및 저장처리업,2018-07-31,
골든호이스트,김미선,054-931-5690,성주군 월항면 선월로 348-23,컨베이어장치 제조업,2018-07-31,
경북제사,유기춘,054-931-3360,성주군 월항면 유월리 397번지,기타 방적업,2018-07-31,
경원수지,소점숙,054-933-0566,성주군 성주읍 대황1길 7-69,비금속원료 재생업,2018-07-31,
경북산업(주),장성태,,성주군 용암면 용계리 683번지,기타 가공공작기계 제조업 외 1 종,2018-07-31,
경우섬유,남광우,054-931-0585,성주군 월항면 주산로 488,연사 및 가공사 제조업,2018-07-31,
고광메탈,배용상,054-932-5266,성주군 선남면 동암리 531-27번지,금속 열처리업,2018-07-31,
경일워터이엔지(주),황재룡,053-581-5858,성주군 선남면 나선로 932-35,그외 기타 일반목적용 기계 제조업 외 1 종,2018-07-31,
공단수지,김준수,,성주군 선남면 선노로 55-31,그외 기타 플라스틱 제품 제조업,2018-07-31,
국제수지,손춘익,054-931-2528,성주군 용암면 사곡공단1길 15,비금속원료 재생업,2018-07-31,
그린수지,최문수,054-931-5664,성주군 선남면 선노로 371-26,벽 및 바닥 피복용 플라스틱제품 제조업 외 1 종,2018-07-31,
금보종합식품,이순화,054-931-3200,성주군 선남면 나선로 890,곡물 제분업,2018-07-31,
고려정공(주),박태진,054-931-5397,성주군 선남면 선노로 540-29,농업 및 임업용 기계 제조업,2018-07-31,
광진임펙스(주),김정도,053-341-8506,성주군 선남면 선노로 65,연사 및 가공사 제조업,2018-07-31,
그린섬유,정인옥,054-931-8348,성주군 월항면 보암공단길 26-15,연사 및 가공사 제조업,2018-07-31,
광영석재,박종달,054-933-5343,성주군 선남면 성주로 4152-10,기타 석제품 제조업,2018-07-31,
그린산업,양경모,054-931-9017,성주군 월항면 월항로 91-12,가공 및 재생 플라스틱원료 생산업,2018-07-31,
금계상사,류욱하,053-943-3119,성주군 용암면 성암로 1231,기타 비료 및 질소화합물 제조업,2018-07-31,
궁전철강,이용순,054-933-1572,성주군 선남면 명포리 741번지,금속 조립구조재 제조업,2018-07-31,
극동산업,서윤옥,054-932-3266,성주군 월항면 주산로 476-6,기타 구조용 금속제품 제조업,2018-07-31,
금산고려홍삼유통조합,정오영,054-931-5878,성주군 선남면 선원2길 27-3,건강기능식품 제조업,2018-07-31,
금성정미소,이상률,054-933-1001,성주군 성주읍 대황4길 21,곡물 도정업,2018-07-31,
나선케미칼,홍수목,054-933-7806,성주군 선남면 유서리길 174-25,기타 기초유기화학물질 제조업 외 1 종,2018-07-31,
금농비료산업사,전성우,054-933-6418,성주군 선남면 장학1길 10-37,기타 비료 및 질소화합물 제조업,2018-07-31,
금용기계(주),이무철,054-931-6044,성주군 월항면 유월공단길 61,내연기관 제조업,2018-07-31,
금성기계(주),김길곤 외 1,054-933-9197,성주군 선남면 명관로 446-13,"산업용 섬유세척, 염색, 정리 및 가공 기계 제조업",2018-07-31,
