회사명,단지명,대표자명,보유구분,공장대표주소,공장크기,전화번호,팩스번호,사업자등록번호,최초설립승인일,설립승인일,최초공장등록일,공장등록일,용지면적,제조시설면적,부대시설면적,남종업원,여종업원,(외남)종업원,(외여)종업원,업종명,용도지역,지목,공장상태,기준일자,생산품
동명씨푸드(주),,이정민,자가,경상북도 울진군 후포면 못골길 17-15 (후포면),소기업,054-787-0044,,4288700010,2019-05-07,,1993-06-19,2021-02-26,7578,1429.2,623.8,5,0,0,0,수산동물 냉동품 제조업,도시지역/공업지역/일반공업지역,공장용지,등록변경,2021-09-30,
동성건설기계,,박복덕,자가,경상북도 울진군 평해읍 학곡리 457-1번지 외 2필지,소기업,054-787-0628,,5070265231,,,2003-03-19,2009-05-11,1591,312.77,51.38,4,0,0,0,건설 및 채광용 기계장비 제조업,관리지역,공장용지,등록변경,2021-09-30,
동해공업사,울진평해농공단지,이강군,자가,"경상북도 울진군 평해읍 평오곡길 51-51, 평해농공단지 외 2필지",소기업,,054-788-2020,5760300814,,,2018-11-29,2018-11-29,2100,495.85,208.84,4,5,,,어망 및 기타 끈 가공품 제조업,도시지역/공업지역/일반공업지역,공장용지,완료신고,2021-09-30,
동해하이텍,,강태이,임대,경상북도 울진군 죽변면 죽변항길 115-9,소기업,,,5811900739,2002-08-08,2002-08-08,2018-07-04,2018-07-04,228,50,0,1,,,,컨베이어장치 제조업 외 12 종,도시지역/상업지역/일반상업지역,대,신규등록,2021-09-30,
동현엔지니어링,울진평해농공단지,김성길,자가,경상북도 울진군 평해읍 평오곡길 51-122,소기업,,,5131454009,2017-06-26,,2017-12-19,2017-12-19,3046.4,1459.32,150.06,4,,,,주형 및 금형 제조업,도시지역/공업지역/일반공업지역,공장용지,완료신고,2021-09-30,
두원기계상사,,손성익,자가,경상북도 울진군 죽변면 죽변중앙로 202-3,소기업,054-782-8758,054-783-8758,5070661271,,,1997-01-08,1997-01-08,1205,464.58,250.45,1,0,0,0,선박 구성 부분품 제조업,도시지역/공업지역/준공업지역,공장용지,신규등록,2021-09-30,
디에이치테크,울진평해농공단지,유정희,임대,"경상북도 울진군 평해읍 평오곡길 51-119, 평해농공단지",소기업,,,2704500070,2017-11-20,,2016-01-15,2016-03-09,0,321.3,0,2,2,,,배전반 및 전기 자동제어반 제조업 외 9 종,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
디유푸드(주),울진평해농공단지,김준모,임대,경상북도 울진군 평해읍 평오곡길 51-172,소기업,054-788-1422,054-788-1431,7258700323,1995-10-21,1995-10-21,2017-06-09,2018-10-11,14113.6,3431.83,1861.77,13,18,,,기타 곡물 가공품 제조업 외 1 종,도시지역/공업지역/일반공업지역,공장용지,등록변경,2021-09-30,
마하엔지니어링,,이창업,임대,경상북도 울진군 죽변면 죽변북로 180,소기업,,,5070444074,2016-01-08,,2015-11-06,2015-11-06,494,45,0,2,,,,구조용 금속 판제품 및 공작물 제조업,도시지역/녹지지역/자연녹지지역,대,신규등록,2021-09-30,
매화농업협동조합,,남계식,자가,경상북도 울진군 매화면 원남로 625 (총 5 필지) 외 4필지,소기업,054-782-7010,,5078202034,2017-06-05,,2014-02-06,2016-04-18,2853,438.96,129.6,1,5,,,장류 제조업,농림지역/농업진흥지역/농업진흥구역,답,등록변경,2021-09-30,
미래정공,울진농공단지,장광병,자가,경상북도 울진군 울진읍 울진북로 745-74,소기업,054-781-2727,,5070380388,,,2010-03-09,2014-12-02,2207.2,416,60,3,1,0,0,그 외 기타 금속가공업 외 2 종,관리지역/관리지역기타,공장용지,등록변경,2021-09-30,
미래정공(주),울진농공단지,장광병,임대,경상북도 울진군 울진읍 울진북로 745-74,소기업,054-783-6262,054-783-5757,5078111540,2013-07-10,,2012-10-24,2018-06-27,2207.2,266,65,4,0,,,유압기기 제조업 외 9 종,관리지역/관리지역기타,공장용지,완료신고,2021-09-30,
백만정비,,김선희,자가,경상북도 울진군 울진읍 토일1길 138 (1급동해정비),소기업,054-782-6000,,5070375788,2010-03-04,2010-03-04,2008-09-01,2009-04-10,1855,125.28,339.18,6,1,0,0,건설 및 채광용 기계장비 제조업,도시지역/공업지역/준공업지역,공장용지,등록변경,2021-09-30,
비랑영농작목반(합),,박성우,자가,경상북도 울진군 평해읍 오곡2길 41 (비량퇴비제조장) 외 1필지,소기업,054-787-4885,,5078120132,2012-10-15,,1995-12-05,2015-07-24,6978,2405.15,99.6,12,0,0,0,복합비료 및 기타 화학비료 제조업 외 1 종,관리지역/계획관리지역,공장용지,완료신고,2021-09-30,
뽀빠이중기공업사,,조혜정,임대,경상북도 울진군 죽변면 후정리 915 번지 916-6,소기업,054-781-2111,054-781-1557,5070395732,,,2011-04-15,2011-04-15,1138,300,32.5,2,,,,건설 및 채광용 기계장비 제조업,관리지역/계획관리지역,대,신규등록,2021-09-30,
사회복지법인 고우이복지재단,,김순선,자가,경상북도 울진군 죽변면 산내성로 481,소기업,054-782-9210,054-781-9212,5078204110,1995-06-17,,2020-09-23,2020-09-23,374.55,112.05,262.5,3,2,,,곡물 제분업,관리지역/계획관리지역,전,신규등록,2021-09-30,
삼홍실업(주),,정태경,자가,경상북도 울진군 후포면 울진대게로 225 (삼홍실업㈜),중기업,054-787-1101,054-787-1104,5078520348,,,1981-08-12,1994-05-23,2909.14,1876.44,760,40,167,0,0,수산동물 냉동품 제조업,도시지역/공업지역/준공업지역,공장용지,완료신고,2021-09-30,
서울식품,,남성희,자가,경상북도 울진군 후포면 후포삼율로 20-7 외 1필지,소기업,054-788-2314,054-788-2399,5070227289,,,1993-05-13,2010-09-08,677,335.76,254.8,0,5,0,0,수산동물 건조 및 염장품 제조업,도시지역/공업지역/준공업지역,대,등록변경,2021-09-30,
서울종합가구싱크,,박경화,임대,경상북도 울진군 북면 덕구온천로 300 (서울종합씽크),소기업,016-810-0399,,5070367236,1981-08-12,1981-08-12,2008-03-06,2008-03-06,601,104.1,49.99,2,1,0,0,주방용 및 음식점용 목재가구 제조업,관리지역/관리지역기타,잡종지,신규등록,2021-09-30,
선경주택,,안영화,임대,경상북도 울진군 근남면 불영계곡로 3675 (선경콘테이너),소기업,054-782-5863,,4351600570,1992-09-07,1992-09-07,2009-04-01,2019-03-19,690,96,72,4,1,0,0,기타 구조용 금속제품 제조업,도시지역/주거지역/제1종일반주거지역,공장용지,등록변경,2021-09-30,
성원이엔씨,,김성규,임대,경상북도 울진군 북면 울진북로 1963 외 1필지,소기업,054-781-2211,054-781-2214,5070368064,,,2008-05-16,2019-06-18,3117,95.48,644.73,10,1,0,0,절삭가공 및 유사처리업 외 6 종,도시지역/녹지지역/자연녹지지역,대,등록변경,2021-09-30,
스마일장애인보호작업장,,안연옥,임대,경상북도 울진군 울진읍 산내성로 264,소기업,054-788-8878,054-781-1599,2590401759,,,2012-03-21,2020-05-20,0,134,0,2,4,,,화장품 제조업,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
신아냉동,,안상태,자가,경상북도 울진군 후포면 후포로 150 (신아냉동),소기업,054-787-1701,,5070460619,,,1998-01-01,2012-02-28,307.94,175,132.94,1,0,0,0,수산동물 냉동품 제조업,도시지역/상업지역/일반상업지역,공장용지,등록변경,2021-09-30,
신영키토산(주),,김종순,자가,경상북도 울진군 후포면 못골길 17-12 (신영키토산㈜),소기업,054-787-7771,054-787-7772,5078102911,,,1994-09-14,1994-09-14,2238,450,120.96,12,1,0,0,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업,도시지역/공업지역/일반공업지역,공장용지,완료신고,2021-09-30,
신화기공,,장하중,임대,경상북도 울진군 죽변면 후정리 785-1번지,소기업,054-781-7780,,5070368782,1998-01-01,1998-01-01,2008-07-31,2010-11-05,275,42,4.86,2,1,0,0,그 외 기타 일반목적용 기계 제조업 외 10 종,관리지역/관리지역기타,대,등록변경,2021-09-30,
신흥벽돌,,김영환,자가,경상북도 울진군 후포면 중밤터2길 35,소기업,054-788-3384,,5070492066,1992-12-24,1992-12-24,1993-08-25,1993-08-25,1746,277.4,124.8,5,1,0,0,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",도시지역/녹지지역/자연녹지지역,잡종지,부분등록,2021-09-30,
아미코젠씨앤씨(주),,신용철,자가,경상북도 울진군 평해읍 학곡7길 28 (㈜금호화성),소기업,054-787-9977,054-787-4448,5078102809,,,1992-05-13,2014-05-08,5273,997.78,313.24,5,0,0,0,기타 식품 첨가물 제조업,관리지역,공장용지,등록변경,2021-09-30,
아현산업,,박정열외1,임대,경상북도 울진군 죽변면 죽변중앙로 176-5,소기업,054-782-2992,,1060179587,1993-01-19,1993-01-19,2010-04-09,2010-04-09,164.7,133.6,31.1,2,0,0,0,육상 금속 골조 구조재 제조업 외 5 종,도시지역/상업지역/일반상업지역,대,신규등록,2021-09-30,
알엔지흙사랑영농조합법인,,임행선,자가,경상북도 울진군 죽변면 죽변중앙로 218-2,소기업,,,4128140242,1990-09-03,,1999-03-11,2012-02-28,2641,1669.8,640.8,3,4,0,0,"수산동물 훈제, 조리 및 유사 조제식품 제조업",도시지역/공업지역/준공업지역,공장용지,등록변경,2021-09-30,
영농조합법인매야전통식품,,최송자,자가,경상북도 울진군 매화면 매화매실길 297-6,소기업,054-782-7269,,5078104826,,,2017-01-17,2017-01-17,915,112.09,61.92,,3,,,전분제품 및 당류 제조업,농림지역/농업진흥지역/농업진흥구역,공장용지,신규등록,2021-09-30,
영동건설(주),울진농공단지,장재영,자가,경상북도 울진군 울진읍 울진북로 745-55 (영동건설(주)),소기업,054-782-1671,054-782-1674,5078102871,1998-12-17,1998-12-17,1994-08-26,1994-08-26,7429.6,947.52,218.6,6,2,0,0,그 외 기타 1차 철강 제조업,관리지역,공장용지,완료신고,2021-09-30,
영일만스틸컨테이너,,"최창용,이점숙",자가,경상북도 울진군 기성면 기성로 416 (기성휴게소),소기업,054-772-7307,,5070449365,,,2013-04-23,2013-04-23,3841,290.9,337,15,2,,,기타 구조용 금속제품 제조업,관리지역/계획관리지역,잡종지,완료신고,2021-09-30,
왕돌수산,,김덕봉,임대,경상북도 울진군 죽변면 해양과학길 22 (경북해양바이오산업연구원),소기업,,054-781-4774,5079051210,1994-07-05,1994-07-05,2012-03-12,2012-03-12,60,60,0,3,1,,,수산동물 건조 및 염장품 제조업,관리지역/관리지역기타/특정용도제한지구,대,신규등록,2021-09-30,
왕돌초수산,,박종만,자가,경상북도 울진군 근남면 망양정로 457-5,소기업,054-781-6421,054-783-6421,4031662152,2013-02-21,2013-02-21,2009-02-10,2020-02-13,1486,329.28,240.88,1,1,0,0,"수산동물 훈제, 조리 및 유사 조제식품 제조업",관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
우리수산,,주영호,임대,경상북도 울진군 후포면 울진대게로 283,소기업,054-788-2093,,5070295453,,,1991-08-09,2008-09-11,413,133,0,1,3,0,0,수산동물 건조 및 염장품 제조업,도시지역/녹지지역/자연녹지지역,대,등록변경,2021-09-30,
울진군임업협동조합,,주석은,자가,경상북도 울진군 울진읍 울진북로 779-23 (울진군산림조합목재집하장재제소),소기업,054-782-2249,054-783-4052,5078202320,,,1998-01-01,1998-01-01,2948,164.16,431.64,3,0,0,0,일반 제재업,관리지역,공장용지,완료신고,2021-09-30,
울진군장애인보호작업장,울진평해농공단지,신철호,임대,경상북도 울진군 평해읍 평오곡길 51-159,소기업,054-788-7502,054-788-7504,3108268640,,,2018-01-15,2020-11-16,2688.1,533.2,295.44,27,2,,,주방용 및 음식점용 목재가구 제조업 외 2 종,도시지역/공업지역/일반공업지역,공장용지,완료신고,2021-09-30,
울진농원,,전영근,임대,"경상북도 울진군 근남면 매오길 146, 산포리 1528-1 (울진농원)",소기업,054-783-0052,,5078110352,1998-01-01,1998-01-01,2013-11-05,2013-11-05,749,431.32,12.96,1,1,,,차류 가공업,관리지역/계획관리지역,대,신규등록,2021-09-30,
울진두부,,김정하,자가,경상북도 울진군 울진읍 새마실3길 47-1,소기업,054-782-1345,,5079811077,2018-01-09,,1998-01-01,1998-01-01,273,97.9,0,1,2,0,0,두부 및 유사식품 제조업,도시지역/주거지역,대,신규등록,2021-09-30,
울진레미콘(주),,신현동,자가,경상북도 울진군 죽변면 하죽로 1795-14 (울진레미콘㈜),소기업,054-782-5055,054-782-0085,5078103389,,,1997-12-22,2008-08-07,11652,210,1280.33,19,3,0,0,레미콘 제조업,관리지역,공장용지,등록변경,2021-09-30,
울진술도가제2공장,,홍순영,자가,경상북도 울진군 근남면 울진북로 141,소기업,054-782-1856,054-781-8880,1540900412,1998-01-01,1998-01-01,2016-12-05,2016-12-05,547,418.12,75.37,2,,,,탁주 및 약주 제조업,도시지역/상업지역/일반상업지역,대,신규등록,2021-09-30,
울진아스콘(주),,윤완석,자가,경상북도 울진군 울진읍 토일4길 96 (울진아스콘㈜),소기업,054-782-2477,,5078102885,1997-10-08,1997-10-08,1994-08-16,2010-10-12,17673,609.48,1305,4,0,0,0,아스팔트 콘크리트 및 혼합제품 제조업,관리지역,공장용지,등록변경,2021-09-30,
워터킹코리아,,유희경,임대,경상북도 울진군 평해읍 월송길 167,소기업,054-787-5498,054-787-5497,8233400427,,,2021-06-15,2021-06-15,0,21.25,56.2,1,,,,액체 여과기 제조업,도시지역/상업지역/일반상업지역,대,신규등록,2021-09-30,
유한프로텍,,박소심,자가,경상북도 울진군 북면 고목2길 6 (북면),소기업,054-782-8866,054-782-8870,5070354518,1994-03-31,1994-03-31,2021-04-16,2021-04-16,5965,108,502.05,4,1,,,그 외 기타 일반목적용 기계 제조업 외 14 종,관리지역/계획관리지역,공장용지,신규등록,2021-09-30,
재림광고기획,,주인중,임대,경상북도 울진군 울진읍 읍내로 29,소기업,054-783-0104,054-781-0104,5070281774,,,2018-07-02,2018-07-02,189,60,0,1,,,,간판 및 광고물 제조업,도시지역/주거지역/제2종일반주거지역,대,신규등록,2021-09-30,
전진산업,,장대규,임대,경상북도 울진군 북면 박금소야로 969,소기업,054-782-8551,,6061455708,,,2008-10-09,2012-02-23,490,90,0,1,0,0,0,절삭가공 및 유사처리업,관리지역/관리지역기타,대,등록변경,2021-09-30,
정도산업(주),,"김창식, 박상무",자가,경상북도 울진군 죽변면 동해대로 5047,소기업,,054-781-6440,5078110707,,,2013-12-20,2018-04-20,10321,613.11,294.1,9,0,,,레미콘 제조업,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
정도종합산업(주),,유세희,자가,경상북도 울진군 죽변면 후정리 907-4번지,소기업,054-781-6441,054-781-6440,5078110707,,,2015-11-18,2017-12-12,29055,906.8,174.6,18,4,,,레미콘 제조업,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
정수레미콘(주),,지광은,자가,경상북도 울진군 북면 울진북로 2515 외 2필지,소기업,,033-572-0337,4708800060,2012-06-08,,2016-03-29,2016-03-29,8079,731.03,153.13,8,2,,,레미콘 제조업,관리지역/계획관리지역,임야,완료신고,2021-09-30,
주식회사 목양에프원,,이재운,자가,경상북도 울진군 후포면 중밤터2길 43-7 (687),소기업,054-787-2248,054-788-3651,5078110819,2013-10-23,,2010-02-07,2020-01-08,2988,549.3,336.9,7,40,0,0,수산동물 냉동품 제조업,도시지역/녹지지역/자연녹지지역,공장용지,등록변경,2021-09-30,
주신수산식품(주),,김동환,임대,경상북도 울진군 후포면 울진대게로 201 (대상㈜후포공장),중기업,054-787-1171,,5078108496,2015-09-02,,2008-12-30,2008-12-30,5398,2508.16,694.82,10,40,0,0,수산동물 냉동품 제조업,도시지역/공업지역/준공업지역,공장용지,완료신고,2021-09-30,
죽변수산업협동조합,,임병옥,자가,경상북도 울진군 죽변면 죽변항길 217 (죽변수협제빙냉동공장),소기업,054-783-7480,054-783-7482,5078202150,2009-10-15,,1997-02-24,2019-04-17,4000.77,1856.25,2316.2,4,0,0,0,수산동물 냉동품 제조업,도시지역/공업지역/일반공업지역,잡종지,등록변경,2021-09-30,
죽변수산업협동조합(조선소),,임병옥,자가,경상북도 울진군 죽변면 죽변리 390-235번지 외 2필지,소기업,054-783-7480,,5078202150,2008-12-01,2008-12-01,1975-09-10,2010-07-05,720,210,0,10,0,0,0,기타 선박 건조업,도시지역/공업지역/일반공업지역,잡종지,신규등록,2021-09-30,
죽변자원,,임종철,자가,경상북도 울진군 죽변면 봉황길 67,소기업,054-781-7444,,5070153631,1996-11-01,,1995-07-12,2005-03-21,2079,162.07,266,3,0,0,0,복합비료 및 기타 화학비료 제조업 외 1 종,관리지역/관리지역기타,공장용지,등록변경,2021-09-30,
지엔씨상사,울진평해농공단지,최송영,자가,경상북도 울진군 평해읍 평해리 1462-4번지,소기업,,,5070337993,,,2015-10-15,2015-10-15,2689.4,265.72,311.51,7,3,3,,끈 및 로프 제조업 외 1 종,관리지역/계획관리지역,공장용지,완료신고,2021-09-30,
직산2리어촌계,,김재천,자가,경상북도 울진군 평해읍 직산리 214-15번지,소기업,054-787-7494,,5079722882,,,1998-04-09,2003-04-25,1608,184,33,3,0,0,0,수산동물 건조 및 염장품 제조업,도시지역/녹지지역/자연녹지지역,공장용지,신규등록,2021-09-30,
진산가구,,조영화외1명,자가,경상북도 울진군 울진읍 온양리 671-2번지,소기업,054-783-0445,054-783-0447,5070446863,2015-01-05,,2013-06-18,2017-09-07,1117,198,60.5,2,1,0,0,기타 목재가구 제조업 외 1 종,관리지역/계획관리지역,답,등록변경,2021-09-30,
첨단기공(주),,공준식,자가,경상북도 울진군 죽변면 울진북로 1532 (첨단기공㈜) 외 1필지,소기업,054-783-8700,054-783-8701,5058127861,1998-04-09,1998-04-09,2002-05-30,2021-07-28,2770,510.65,566.45,8,2,0,0,절삭가공 및 유사처리업 외 34 종,관리지역,공장용지,등록변경,2021-09-30,
청해식품,울진죽변해양바이오농공단지,박형주,자가,경상북도 울진군 죽변면 후정리 1260-1번지,소기업,,,5299601328,,,2016-01-25,2021-02-02,3192.2,230.24,229.39,3,3,,,두부 및 유사식품 제조업,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
태광,,전종식,자가,경상북도 울진군 울진읍 고성1길 61-12 (태광광고),소기업,054-783-0515,,5070183722,2001-03-20,,2017-03-24,2017-03-24,220,73,0,2,,,,간판 및 광고물 제조업,도시지역/주거지역/제1종일반주거지역,대,신규등록,2021-09-30,
태진산업(주),,장희중,임대,경상북도 울진군 죽변면 하죽로 1636,소기업,054-781-0482,,5078104374,2015-01-05,,2008-11-13,2008-11-13,876,144,0,3,0,0,0,그 외 기타 일반목적용 기계 제조업 외 1 종,관리지역/관리지역기타,대,신규등록,2021-09-30,
파워엔지니어링,,이용식,임대,경상북도 울진군 죽변면 후정리 116-4번지 116-6,소기업,054-783-5414,,5070159256,,,2007-05-15,2007-05-15,1833,81.9,99.9,2,1,0,0,그 외 기타 일반목적용 기계 제조업 외 1 종,관리지역/관리지역기타,잡종지,신규등록,2021-09-30,
하람식품,,박균,임대,경상북도 울진군 후포면 울진대게로 219 (삼풍수산),소기업,054-788-7002,,5070266128,,,2008-08-26,2008-08-26,3640.17,375,0,2,6,0,0,수산동물 냉동품 제조업,도시지역/공업지역/일반공업지역,공장용지,신규등록,2021-09-30,
한빛기술,,정창근,자가,"경상북도 울진군 북면 나실길 10-14, 698-1",소기업,054-785-1834,,5070296035,,,2006-07-27,2014-01-27,479,38.81,20.2,6,1,0,0,방송장비 제조업 외 1 종,관리지역/관리지역기타,대,등록변경,2021-09-30,
핸텍,,신원섭,임대,경상북도 울진군 북면 고목2길 6,소기업,,,,,,2021-03-08,2021-03-08,262.8,219,43.8,2,1,,,절삭가공 및 유사처리업 외 17 종,관리지역/계획관리지역,공장용지,신규등록,2021-09-30,
현대목재,울진농공단지,김경태,자가,경상북도 울진군 울진읍 울진북로 745-47 ((주)현대목재),소기업,054-781-4989,,5070455829,,,2002-02-06,2013-01-15,8303.45,1410,126.07,3,0,0,0,일반 제재업,관리지역,공장용지,등록변경,2021-09-30,
현대테크윈(주),,서학용,임대,경상북도 울진군 울진읍 새마실5길 16-9,소기업,,,5078108079,,,2008-09-11,2008-09-11,326,76.13,0,4,0,0,0,공기 조화장치 제조업 외 2 종,도시지역/주거지역/제2종일반주거지역,대,신규등록,2021-09-30,
화성기전,,강대웅,자가,경상북도 울진군 죽변면 후정리 115-1번지,소기업,054-781-5875,054-781-5874,2262096125,2001-08-22,2001-08-22,2017-07-06,2019-03-28,496,84,15,1,,,,기타 물품 취급장비 제조업 외 29 종,도시지역/녹지지역/자연녹지지역,전,등록변경,2021-09-30,
화성중기공업사,,남영극,임대,경상북도 울진군 울진읍 읍남리 352-5번지,소기업,054-783-1133,,5070231745,,,2005-06-20,2005-06-20,1247,160,162.14,2,1,0,0,건설 및 채광용 기계장비 제조업,도시지역/공업지역/준공업지역,대,신규등록,2021-09-30,
화인시스템(주)울진지점,울진평해농공단지,"권학철,신호용",자가,"경상북도 울진군 평해읍 평오곡길 51-119, (평해농공단지)",소기업,053-817-8023,053-817-8026,8338500218,,,2016-01-15,2016-03-09,1653.5,156.66,0,12,6,,,배전반 및 전기 자동제어반 제조업 외 9 종,관리지역/계획관리지역,공장용지,등록변경,2021-09-30,
후포수산업협동조합,,김대경,자가,경상북도 울진군 후포면 울진대게로 132 (후포수협제빙냉동공장),소기업,054-787-1331,054-787-1332,5078202131,,,1998-08-04,2019-04-17,1470,1233.15,244.6,6,,0,0,수산동물 냉동품 제조업,도시지역/공업지역/준공업지역,잡종지,등록변경,2021-09-30,
흥부정미소,,조경수,자가,경상북도 울진군 북면 부구리 1036-2번지,소기업,054-782-0037,,5070262952,2015-05-26,,1996-08-16,2002-02-19,1139,78.35,0,1,0,0,0,곡물 도정업,농림지역/농업진흥지역/농업진흥구역,전,신규등록,2021-09-30,
흥산기공,,김미숙,임대,경상북도 울진군 죽변면 울진북로 1552 (현대자동차그린써비스죽변점),소기업,054-782-1082,,5070230071,1989-08-04,,2008-04-08,2010-08-03,952,42,7.5,2,1,0,0,절삭가공 및 유사처리업 외 3 종,관리지역/관리지역기타,대,등록변경,2021-09-30,
